#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
28.70,100482,
28.70,100483,
28.70,100482,
28.80,100476,
28.70,100482,
28.80,100477,
28.80,100478,
28.70,100477,
28.80,100477,
28.80,100475,
28.80,100478,
28.80,100483,
28.80,100476,
28.80,100480,
28.80,100480,
28.80,100479,
28.80,100479,
28.80,100481,
28.80,100476,
28.80,100481,
28.80,100480,
28.70,100476,
28.80,100480,
28.80,100476,
28.80,100476,
28.80,100482,
28.80,100479,
28.80,100475,
28.80,100481,
28.80,100486,
28.80,100482,
28.80,100479,
28.80,100480,
28.80,100477,
28.80,100483,
28.80,100477,
28.80,100480,
28.80,100479,
28.80,100489,
28.80,100488,
28.80,100485,
28.80,100487,
28.80,100479,
28.80,100474,
28.80,100481,
28.80,100487,
28.80,100482,
28.80,100482,
28.80,100476,
28.80,100476,
28.80,100485,
28.80,100484,
28.80,100485,
28.80,100485,
28.80,100485,
28.80,100481,
28.80,100482,
28.80,100485,
28.80,100481,
28.80,100483,
28.80,100485,
28.80,100479,
28.80,100479,
28.80,100483,
28.80,100481,
28.80,100478,
28.80,100482,
28.80,100477,
28.80,100485,
28.80,100485,
28.80,100486,
28.80,100481,
28.80,100482,
28.80,100480,
28.80,100479,
28.80,100476,
28.80,100481,
28.80,100475,
28.80,100482,
28.80,100481,
28.80,100479,
28.80,100481,
28.80,100479,
28.80,100477,
28.80,100485,
28.80,100477,
28.80,100486,
28.80,100479,
28.80,100486,
28.80,100481,
28.80,100477,
28.80,100483,
28.80,100486,
28.80,100482,
28.80,100481,
28.80,100481,
28.80,100477,
28.80,100478,
28.80,100477,
28.80,100484,
28.80,100482,
28.80,100476,
28.80,100474,
28.80,100476,
28.80,100484,
28.80,100479,
28.80,100483,
28.80,100483,
28.80,100488,
28.80,100485,
28.80,100477,
28.80,100484,
28.80,100482,
28.80,100481,
28.80,100483,
28.80,100484,
28.80,100479,
28.80,100482,
28.80,100479,
28.80,100478,
28.80,100481,
28.80,100483,
28.80,100478,
28.80,100480,
28.80,100480,
28.80,100482,
28.80,100481,
28.80,100476,
28.80,100476,
28.80,100478,
28.80,100478,
28.80,100476,
28.90,100479,
28.80,100481,
28.80,100478,
28.80,100474,
28.80,100476,
28.80,100476,
28.90,100475,
28.80,100487,
28.80,100483,
28.80,100483,
28.90,100483,
28.80,100483,
28.90,100484,
28.90,100487,
28.90,100478,
28.90,100478,
28.80,100487,
28.90,100481,
28.90,100483,
28.90,100483,
28.90,100481,
28.90,100485,
28.80,100482,
28.80,100482,
28.80,100478,
28.80,100483,
28.90,100479,
28.90,100476,
28.90,100478,
28.90,100487,
28.90,100486,
28.90,100479,
28.90,100484,
28.90,100481,
28.90,100488,
28.90,100486,
28.90,100483,
28.90,100483,
28.90,100476,
28.90,100483,
28.90,100479,
28.90,100485,
28.90,100482,
28.90,100482,
28.90,100483,
28.90,100479,
28.90,100476,
28.90,100482,
28.90,100483,
28.90,100483,
28.90,100479,
28.90,100477,
28.90,100481,
28.90,100486,
28.90,100478,
28.90,100486,
28.90,100484,
28.90,100476,
28.90,100484,
28.90,100484,
28.90,100481,
28.90,100484,
28.90,100479,
28.90,100485,
28.90,100478,
28.90,100476,
28.90,100482,
28.90,100485,
28.90,100484,
28.90,100488,
28.90,100477,
28.90,100479,
28.90,100480,
28.90,100484,
28.90,100481,
28.90,100480,
28.90,100482,
28.90,100480,
28.90,100481,
28.90,100482,
28.90,100483,
28.90,100486,
28.90,100482,
28.90,100483,
28.90,100487,
28.90,100485,
28.90,100487,
28.90,99741,
28.90,92671,
28.90,86476,
28.80,81149,
28.80,76430,
28.70,72102,
28.70,68075,
28.60,64326,
28.60,60819,
28.60,57549,
28.60,54474,
28.60,51588,
28.60,48860,
28.60,46303,
28.60,43896,
28.60,41646,
28.70,39530,
28.70,37547,
28.70,35710,
28.70,33993,
28.70,32389,
28.70,30902,
28.70,29498,
28.70,28200,
28.80,26978,
28.80,25831,
28.80,24750,
28.80,23742,
28.80,22796,
28.80,21901,
28.80,21066,
28.90,20275,
28.90,19535,
28.90,18831,
28.90,18168,
28.90,17552,
28.90,16966,
28.90,16414,
28.90,15889,
28.90,15406,
28.90,14953,
29.00,14522,
29.00,14114,
29.00,13732,
29.00,13348,
29.00,13010,
29.00,12685,
29.00,12391,
29.00,12101,
29.00,11827,
29.00,11579,
29.00,11336,
29.00,11099,
29.00,10888,
29.00,10686,
29.00,10505,
29.00,10325,
29.10,10160,
29.00,9997,
29.00,9840,
29.00,9694,
29.10,9556,
29.10,9438,
29.10,9313,
29.10,9196,
29.10,9097,
29.10,8971,
29.10,8881,
29.10,8776,
29.10,8688,
29.10,8617,
29.10,8528,
29.10,8444,
29.10,8369,
29.10,8297,
